Hospital,Hospital Current Display,Metric,Metric Display Projection,Metric Display Current,Entity,Metric Key,Metric Projection Seq,Metric Current Seq,Hospital Seq,Metric Display PD,Entity Display PD,Entity Display Seq,Metric PD Seq,Metric Display Trend,Metric Trend Seq
,,Gross Charges,Dummy,Dummy,CMC,13,16,18,null,Charges in thousands,JMH,9,11,Gross Charges,11
,,Gross Charges,Dummy,Dummy,BHC,13,16,18,null,Charges in thousands,JMH,9,11,Gross Charges,11
,,Gross Charges,Dummy,Dummy,PN,13,16,18,null,Charges in thousands,JMH,9,11,Gross Charges,11
,,Collections,Dummy,Dummy,WCMC,14,16,18,null,Collections in thousands,JMH,9,12,Collections,12
,,Collections,Dummy,Dummy,CMC,14,16,18,null,Collections in thousands,JMH,9,12,Collections,12
,,Collections,Dummy,Dummy,BHC,14,16,18,null,Collections in thousands,JMH,9,12,Collections,12
,,Collections,Dummy,Dummy,PN,14,16,18,null,Collections in thousands,JMH,9,12,Collections,12
,,ALOS,,,CMC,15,null,null,null,ALOS*,CMC/WC,11,6,ALOS,6
WCMC+CMC,WCMC+CMC,O/E - ALOS,O/E - ALOS,O/E - ALOS,WCMC,27,0.9,0.9,2,O/E - ALOS,WCMC,5,0.9,O/E - ALOS,6.1
WCMC+CMC,WCMC+CMC,O/E - ALOS,O/E - ALOS,O/E - ALOS,CMC,27,0.9,0.9,2,O/E - ALOS,CMC,3,0.9,O/E - ALOS,6.1
,,,Dummy,Dummy,,null,16,18,null,,,10,17,,13
BHC,BHC,O/E - ALOS,O/E - ALOS,O/E - ALOS,BHC,27,0.9,0.9,3,O/E - ALOS,BHC,1,0.9,O/E - ALOS,6.1
WCMC+CMC,WCMC+CMC,GMLOS,GMLOS,GMLOS,WCMC,5,6,5,2,GMLOS*,WCMC,5,5,O/E - GMLOS,6.2
WCMC+CMC,WCMC+CMC,GMLOS,GMLOS,GMLOS,CMC,5,6,5,2,GMLOS*,CMC,3,5,O/E - GMLOS,6.2
,,GMLOS,Dummy,Dummy,WCMC,5,16,18,null,GMLOS*,CMC/WC,11,5,O/E - GMLOS,6.2
WCMC+CMC,WCMC+CMC,Deliveries,Deliveries,Deliveries,WCMC,19,9.7,9.7,2,Deliveries,WCMC,5,null,Deliveries,9.7
WCMC+CMC,WCMC+CMC,Deliveries,Deliveries,Deliveries,CMC,19,9.7,9.7,2,Deliveries,CMC,3,null,Deliveries,9.7
BHC,BHC,Deliveries,Deliveries,Deliveries,BHC,19,9.7,9.7,3,Deliveries,BHC,1,null,Deliveries,9.7
PN,PN,Deliveries,Deliveries,Deliveries,PN,19,9.7,9.7,4,Deliveries,PN,7,null,Deliveries,9.7
WCMC+CMC,WCMC+CMC,Trauma Visits,Trauma Visits,Trauma Visits,WCMC,20,9.8,9.8,2,Trauma Visits,WCMC,5,null,Trauma Visits,9.8
WCMC+CMC,WCMC+CMC,Trauma Visits,Trauma Visits,Trauma Visits,CMC,20,9.8,9.8,2,Trauma Visits,CMC,3,null,Trauma Visits,9.8
BHC,BHC,Trauma Visits,Trauma Visits,Trauma Visits,BHC,20,9.8,9.8,3,Trauma Visits,BHC,1,null,Trauma Visits,9.8
PN,PN,Trauma Visits,Trauma Visits,Trauma Visits,PN,20,9.8,9.8,4,Trauma Visits,PN,7,null,Trauma Visits,9.8
,,GMLOS,,,CMC,5,null,null,null,GMLOS*,CMC/WC,11,5,O/E - GMLOS,6.2
,,GMLOS,,,BHC,5,null,null,null,GMLOS*,BHC,1,5,O/E - GMLOS,6.2
WCMC+CMC,WCMC+CMC,O/E,O/E,O/E***,WCMC,6,7,6,2,O/E*,CMC/WC,11,7,O/E,7
WCMC+CMC,WCMC+CMC,O/E,O/E,O/E***,CMC,6,7,6,2,O/E*,CMC/WC,11,7,O/E,7
WCMC+CMC,WCMC+CMC,O/E,O/E,O/E***,WCMC,6,7,6,2,O/E*,WCMC,5,7,O/E,7
WCMC+CMC,WCMC+CMC,O/E,O/E,O/E***,CMC,6,7,6,2,O/E*,CMC,3,7,O/E,7
BHC,BHC,O/E,O/E,O/E***,BHC,6,7,6,3,O/E*,BHC,1,7,O/E,7
WCMC+CMC,WCMC+CMC,CMI,CMI,CMI,WCMC,22,7.1,7.1,2,CMI,WCMC,5,null,CMI,7.1
WCMC+CMC,WCMC+CMC,CMI,CMI,CMI,CMC,22,7.1,7.1,2,CMI,CMC,3,null,CMI,7.1
BHC,BHC,CMI,CMI,CMI,BHC,22,7.1,7.1,3,CMI,BHC,1,null,CMI,7.1
WCMC+CMC,WCMC+CMC,Admissions - ED,Admissions - ED,Admissions - ED,WCMC,24,0.6,0.6,2,Admissions - ED,WCMC,5,0.6,Admissions - ED,0.6
WCMC+CMC,WCMC+CMC,Admissions - ED,Admissions - ED,Admissions - ED,CMC,24,0.6,0.6,2,Admissions - ED,CMC,3,0.6,Admissions - ED,0.6
BHC,BHC,Admissions - ED,Admissions - ED,Admissions - ED,BHC,24,0.6,0.6,3,Admissions - ED,BHC,1,0.6,Admissions - ED,0.6
WCMC+CMC,WCMC+CMC,Admissions - ED%,Admissions - ED%,Admissions - ED%,WCMC,25,0.7,0.7,2,Admissions - ED%,WCMC,5,0.7,Admissions - ED%,0.7
WCMC+CMC,WCMC+CMC,Admissions - ED%,Admissions - ED%,Admissions - ED%,CMC,25,0.7,0.7,2,Admissions - ED%,CMC,3,0.7,Admissions - ED%,0.7
BHC,BHC,Admissions - ED%,Admissions - ED%,Admissions - ED%,BHC,25,0.7,0.7,3,Admissions - ED%,BHC,1,0.7,Admissions - ED%,0.7
WCMC+CMC,WCMC+CMC,Admissions - Newborn,Admissions - Newborn,Admissions - Newborn,WCMC,26,0.8,0.8,2,Admissions - Newborn,WCMC,5,0.8,Admissions - Newborn,0.8
WCMC+CMC,WCMC+CMC,Admissions - Newborn,Admissions - Newborn,Admissions - Newborn,CMC,26,0.8,0.8,2,Admissions - Newborn,CMC,3,0.8,Admissions - Newborn,0.8
BHC,BHC,Admissions - Newborn,Admissions - Newborn,Admissions - Newborn,BHC,26,0.8,0.8,3,Admissions - Newborn,BHC,1,0.8,Admissions - Newborn,0.8
WCMC+CMC,WCMC+CMC,NICU Cases,NICU Cases,NICU Cases,WCMC,23,7.2,7.2,2,NICU Cases,WCMC,5,null,NICU Cases,7.2
WCMC+CMC,WCMC+CMC,NICU Cases,NICU Cases,NICU Cases,CMC,23,7.2,7.2,2,NICU Cases,CMC,3,null,NICU Cases,7.2
BHC,BHC,NICU Cases,NICU Cases,NICU Cases,BHC,23,7.2,7.2,3,NICU Cases,BHC,1,null,NICU Cases,7.2
WCMC+CMC,WCMC+CMC,Observation Days - Inpatient,Observation Days - Inpatient,Observation Days - Inpatient,WCMC,28,3.2,3.2,2,Observation Days - Inpatient,WCMC,5,3.2,Observation Days - Inpatient,3.2
WCMC+CMC,WCMC+CMC,Observation Days - Inpatient,Observation Days - Inpatient,Observation Days - Inpatient,CMC,28,3.2,3.2,2,Observation Days - Inpatient,CMC,3,3.2,Observation Days - Inpatient,3.2
BHC,BHC,Observation Days - Inpatient,Observation Days - Inpatient,Observation Days - Inpatient,BHC,28,3.2,3.2,3,Observation Days - Inpatient,BHC,1,3.2,Observation Days - Inpatient,3.2
PN,PN,Observation Days - Inpatient,Observation Days - Inpatient,Observation Days - Inpatient,PN,28,3.2,3.2,4,Observation Days - Inpatient,PN,7,3.2,Observation Days - Inpatient,3.2
WCMC+CMC,WCMC+CMC,Observation Days - Outpatient,Observation Days - Outpatient,Observation Days - Outpatient,WCMC,29,3.3,3.3,2,Observation Days - Outpatient,WCMC,5,3.3,Observation Days - Outpatient,3.3
WCMC+CMC,WCMC+CMC,Observation Days - Outpatient,Observation Days - Outpatient,Observation Days - Outpatient,CMC,29,3.3,3.3,2,Observation Days - Outpatient,CMC,3,3.3,Observation Days - Outpatient,3.3
BHC,BHC,Observation Days - Outpatient,Observation Days - Outpatient,Observation Days - Outpatient,BHC,29,3.3,3.3,3,Observation Days - Outpatient,BHC,1,3.3,Observation Days - Outpatient,3.3
PN,PN,Observation Days - Outpatient,Observation Days - Outpatient,Observation Days - Outpatient,PN,29,3.3,3.3,4,Observation Days - Outpatient,PN,7,3.3,Observation Days - Outpatient,3.3
WCMC+CMC,WCMC+CMC,Observation Days - Total,Observation Days - Total,Observation Days - Total,WCMC,30,3.4,3.4,2,Observation Days - Total,WCMC,5,3.4,Observation Days - Total,3.4
WCMC+CMC,WCMC+CMC,Observation Days - Total,Observation Days - Total,Observation Days - Total,CMC,30,3.4,3.4,2,Observation Days - Total,CMC,3,3.4,Observation Days - Total,3.4
BHC,BHC,Observation Days - Total,Observation Days - Total,Observation Days - Total,BHC,30,3.4,3.4,3,Observation Days - Total,BHC,1,3.4,Observation Days - Total,3.4
PN,PN,Observation Days - Total,Observation Days - Total,Observation Days - Total,PN,30,3.4,3.4,4,Observation Days - Total,PN,7,3.4,Observation Days - Total,3.4
WCMC+CMC,WCMC+CMC,Observation Cases - Inpatient,Observation Cases - Inpatient,Observation Cases - Inpatient,WCMC,31,2.2,2.2,2,Observation Cases - Inpatient,WCMC,5,2.2,Observation Cases - Inpatient,2.2
WCMC+CMC,WCMC+CMC,Observation Cases - Inpatient,Observation Cases - Inpatient,Observation Cases - Inpatient,CMC,31,2.2,2.2,2,Observation Cases - Inpatient,CMC,3,2.2,Observation Cases - Inpatient,2.2
BHC,BHC,Observation Cases - Inpatient,Observation Cases - Inpatient,Observation Cases - Inpatient,BHC,31,2.2,2.2,3,Observation Cases - Inpatient,BHC,1,2.2,Observation Cases - Inpatient,2.2
WCMC+CMC,WCMC+CMC,Observation Cases - Outpatient,Observation Cases - Outpatient,Observation Cases - Outpatient,WCMC,32,2.3,2.3,2,Observation Cases - Outpatient,WCMC,5,2.3,Observation Cases - Outpatient,2.3
WCMC+CMC,WCMC+CMC,Observation Cases - Outpatient,Observation Cases - Outpatient,Observation Cases - Outpatient,CMC,32,2.3,2.3,2,Observation Cases - Outpatient,CMC,3,2.3,Observation Cases - Outpatient,2.3
BHC,BHC,Observation Cases - Outpatient,Observation Cases - Outpatient,Observation Cases - Outpatient,BHC,32,2.3,2.3,3,Observation Cases - Outpatient,BHC,1,2.3,Observation Cases - Outpatient,2.3
WCMC+CMC,WCMC+CMC,Observation Cases - Total,Observation Cases - Total,Observation Cases - Total,WCMC,33,2.4,2.4,2,Observation Cases - Total,WCMC,5,2.4,Observation Cases - Total,2.4
WCMC+CMC,WCMC+CMC,Observation Cases - Total,Observation Cases - Total,Observation Cases - Total,CMC,33,2.4,2.4,2,Observation Cases - Total,CMC,3,2.4,Observation Cases - Total,2.4
BHC,BHC,Observation Cases - Total,Observation Cases - Total,Observation Cases - Total,BHC,33,2.4,2.4,3,Observation Cases - Total,BHC,1,2.4,Observation Cases - Total,2.4
WCMC+CMC,WCMC+CMC,Outpatient Cases,Outpatient Cases,Outpatient Cases,WCMC,34,2.5,2.5,2,Outpatient Cases,WCMC,5,2.5,Outpatient Cases,2.5
WCMC+CMC,WCMC+CMC,Outpatient Cases,Outpatient Cases,Outpatient Cases,CMC,34,2.5,2.5,2,Outpatient Cases,CMC,3,2.5,Outpatient Cases,2.5
